বাংলাদেশ শিল্প কারিগরি সহায়তা কেন্দ্র (বিটাক) এর সেপা (SEPA) প্রকল্পের আওতাধীন প্রশিক্ষণের ট্রেডসমূহ, মেয়াদ এবং প্রশিক্ষণ ফি-এর তালিকা নিচে দেওয়া হলো:

SEPA প্রকল্পের নিয়মাবলী ও সুযোগ-সুবিধা:
এই প্রকল্পের আওতাধীন সকল কোর্সের প্রশিক্ষণ ফি সম্পূর্ণ ফ্রি বা বিনা খরচে পরিচালনা করা হয়।

বিটাক সেপা (SEPA) প্রকল্পের কোর্সের তালিকা (টেবিল ফরম্যাট):
ক্রঃ নং | ট্রেডের নাম | মেয়াদ | প্রশিক্ষণ ফি
১ | হ্যান্ডি ক্রাফট (Handicraft) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
২ | ইলেকট্রনিক্স (Electronics) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
৩ | ইলেকট্রিক্যাল মেইনটেন্যান্স (Electrical Maintenance) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
৪ | অটোক্যাড (AutoCAD) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
৫ | মোবাইল সার্ভিসিং (Mobile Servicing) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
৬ | ওয়েল্ডিং (আর্ক ও গ্যাস / Arc & Gas Welding) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
৭ | রেফ্রিজারেশন এন্ড এয়ার কন্ডিশনিং (RAC) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
৮ | ওয়েল্ডিং (টিগ, মিগ / TIG, MIG Welding) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
৯ | হাউজহোল্ড এপ্লায়েন্স মেইনটেন্যান্স | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
১০ | কম্পিউটার হার্ড ওয়্যার মেইন্টেনেন্স | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
১১ | প্লাস্টিক প্রসেসিং (Plastic Processing) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
১২ | কার্পেন্ট্রি (Carpentry) | ১২ সপ্তাহ | সম্পূর্ণ বিনা খরচে
